id,created_on,operation,property_type,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,expenses,description,title,lat.1,lon.1,housenumber,street,city,state,bathrooms
775eb9f3341fe1701b3db023e34e61141b78fe7c,2017-12-07,rent,Departamento,-34.5822059,-58.4426989,654.8,38,38.0,1,,"38 m2. Ambiente de 8x4 divisible. Kitchinette. Baño completo. Contrafrente super abierto con muy linda vista.7 año de antiguedad.Servicios centrales.Amenities: SUM, pileta, parrillaPrecio paquete, incluye expensas y aysa. ABL y demás servicios a cargo del inquilino.Matriculado:Martín LottiCPI 2989",Precio Paquete. Monoambiente divisible. Amenities,-34.5822,-58.4427,6041.0,"Cabrera, Jose A.",Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
1469736c90a737eb5f0f5cd770b59e6d7bb502b4,2017-10-24,rent,Departamento,-34.4895692,-58.4965351,654.8,55,50.0,2,,"Impecable y amplio depto de 2 amb en alquiler en Martínez, totalmente refaccionado.Piso alto con vista al río, super luminoso! Torre de categoría con seguridad las 24hs.Ideal ubicación a una cuadra de la estación y del centro comercial.Gran living comedor con balcón, amplio dormitorio con placard, baño completo, equipada cocina con sector para lavadero. Gran despensa tipo baulera.Todos los pisos son de madera. El agua caliente por calefón. Splti de aire frío en el living.",Depto 2 amb en alquiler en Martínez,-34.48959775405405,-58.496523505405406,298.0,Juan José Paso,Martínez,Buenos Aires,2
5c96a335756a356511cdfab21a091b46d8618fb0,2017-12-05,rent,Departamento,-34.4868188,-58.4972971,654.8,58,56.0,2,,"Lindo y cómodo departamento en el mejor lugar de Martínez, a una cuadra del tren y Alvear. 3 ambientes con 2 baños y baulera.Buen living comedor de 5,5 x 3 con salida a balcón de 3 x 1 al frente. Cocina bien equipada con lavadero. 2 dormitorios cómodos, con placard. Baño completo y otro toilette de visitas. ","Departamento en Alquiler en el mejor lugar de Martínez, a una cuadra del tren y Alvear. ",-34.48685139183673,-58.49728814489796,354.0,Vicente Fidel López,Martínez,Buenos Aires,2
b13d4fd1357f74071ca5c1974f3bdf5a3fac279b,2017-09-07,rent,PH,-34.6838878,-58.5864992,654.8,140,100.0,3,,"CASA TIPO PH DE 3 AMBIENTES DISTRIBUIDA EN DOS PLANTAS. INGRESO POR PASILLO, UBICADA AL FONDO.COMPUESTA POR: PLANTA BAJA: AMPLIA COCINA-COMEDOR CON MUEBLE MESADA Y BAJOMESADA, ALACENA Y MUEBLE DE GUARDADO. BAO TOILETTE, PATIO CON PARRILLA DE 40 m2, LAVADERO Y ESPACIO VERDE.PLANTA ALTA: DOS DORMITORIOS CON PLACARD Y ESTUFA, BAO INSTALADO COMPLETO CON ARTEFACTOS SANITARIOS.EXCELENTES TERMINACIONES DE CATEGORA. A ESTRENAR.ABL BIMESTRAL .Publicado por Inmobiliaria Capece a traves INMOMAP",CASA TIPO PH DE 3 AMBIENTES A ESTRENAR,-34.68387619183674,-58.58651310408163,4354.0,Doctor Ramón Carrillo,San Justo,Buenos Aires,2
108175417387e7e274e87f51fd23c7ff5b23acbb,2017-10-11,rent,Departamento,-34.6811204,-58.5618981,654.8,75,65.0,3,2.0,"SAN JUSTO CENTRO, DEPARTAMENTO 3 AMBIENTES AL FRENTE DE CATEGORÍA, LIVING COMEDOR AL FRENTE CON BALCON, COCINA SEPARADA CON LAVADERO EXTERNO, SUITE CON VESTIDOR, BAÑO COMPLETO, DORMITORIO C/PLACARD. CALEFACCION CENTRAL. EXCELENTE ESTADO. -  - BATTISTA INMOBILIARIA",DEPARTAMENTO EN ALQUILER,-34.681111200000004,-58.56191572244898,2797.0,Perú,San Justo,Buenos Aires,2
706479f0be865f1fc91cf738284f718f699a17b1,2017-09-21,rent,Departamento,-34.4719508,-58.50833416,654.8,65,56.0,3,,"Se trata de un edificio clásico con frente de ladrillos, desarrollado en planta Baja y 6 plantas con cinco departamentos por piso que comparten pallier de recepción. Posee dos ascensores. El departamento se sitúa en el contrafrente del primer piso y no tiene cochera pero el edificio cuenta con cocheras cubiertas con portón de acceso automático con posibilidad de alquiler.Distribución: Hall de entrada con acceso al Living comedor con pisos de parquet y salida a balcón corrido.  El balcón tiene protección para niños y vista al pulmón de manzana y al jardín. Orientación norte. Cocina con pisos cerámicos, mesada de granito, muebles bajo mesada con frente de madera y alacenas, ventana con orientación oeste. El lavadero está integrado. Dormitorio principal con pisos de parquet, placards espaciosos y salida al balcón. Segundo dormitorio con pisos de parquet y placards, sin salida al balcón. Baño completo y en muy buen estado. Las aberturas son metálicas, el sistema de calefacción es por estufas y el agua caliente es por termotanque eléctrico. Las persianas son de enrollar. El edificio tiene encargado que trabaja de lunes a viernes de 7 a 12 y de 16 a 19 hs. y sábados de 8 a 12 hs. Expensas mensuales de $2200 (ordinarias) + $400 (extraordinarias). ABL $600. || Gastos - A.B.L.: $600 (A.B.L) - Expensas Comunes: $2.200 (Expensas Ordinarias)",ROQUE SAENZ PEÑA 300,-34.47201246464646,-58.50830147777778,406.0,Roque Sáenz Peña,Acassuso,Buenos Aires,2
92da45ce37ae65dededc3340d556ce7198dda67e,2017-10-27,rent,Casa,-37.4550282209,-61.932827432,654.8,406,299.0,5,,"ALQUILER - CORONEL SUAREZ - EXCEPCIONAL CASA ANTIGUA EN MUY BUEN ESTADO DE CONSERVACIÓN Y MANTENIMIENTO. CONSTA DE LIVING, COMEDOR, COCINA COMEDOR, 3 DORMITORIOS EN PLANTA BAJA CON 2 BAÑOS (1 DORM EN SUITE), MAS UN DORMITORIO Y BAÑO DE SERVICIO EN PLANTA ALTA. JARDÍN, PISCINA PEQUEÑA. SE ALQUILA CON EL LOCAL LINDERO INCLUIDO.- -  - MARCALAIN PROPIEDADES",CASA EN ALQUILER,-37.455029502040816,-61.932815053061226,488.0,Avenida Alsina,Coronel Suárez,Buenos Aires,2
12b7046ae77ca9cdd1a328a1c5648fbb83180e00,2017-07-04,rent,Casa,-37.4556831,-61.916352,654.8,170,140.0,4,,"Alquiler de Casa 3 DORMITORIOS, Coronel Suárez - Casa antigua muy cercana al centro, ideal oficinas con buena distribucion. Consta de ingreso principal con zona de recepcion, 4 oficinas, baño. Muy buen estado. -  - MARCALAIN PROPIEDADES",CASA EN ALQUILER,-37.45570098163265,-61.91634569183674,92.0,Mitre bis,Coronel Suárez,Buenos Aires,2
81b8bec544fdcc3962171f3196dafd96a1e4eb9c,2017-12-06,rent,Departamento,-34.5971358,-58.5405427,654.8,280,110.0,4,,"Alquiler de Departamento tipo casa 4 AMBIENTES en Santos Lugares, Tres de Febrero. SOLO USO PROFESIONAL.PISO 1° AL FRENTE. ENTRADA PPAL Y DE SERVICIO.  RECEPCION (3.00 X 1.00) CON MOSAICOS. LIVING CON MOSAICOS. COCINA TOTALMENTE INSTALADA CON MUEBLES ALTOS Y BAJOS CON MOSAICOS. HALL DISTRIBUIDOR CON MOSAICOS. BAÑO CON BAÑERA Y MOSAICOS. TRES DORMITORIOS CON PLACARDS Y PISOS CERAMICOS Y DE CEMENTO. TOILETTE EXTERNO CON DUCHA Y MOSAICOS. LAVADERO CUBIERTO CON MOSAICOS. BALCON CORRIDO AL FRENTE. TERRAZA ACCESIBLE (8.66 X 20.00) CUBIERTO (6.00 X 8.00) RESTO DESCUBIERTO (8.00 X 14.00). REMODELADO. ESTADO REGULAR. DETALLES: ART DE COCINA. REJAS. VENTILADOR DE TECHO. PILETA DE LAVAR. TERMOTANQUE. BOTIQUIN CON ESPEJO. LAS MEDIDAS SON APROXIMADAS Y DADAS POR EL PROPIETARIO.ALQUILER: 1° AÑO $ 12.000 + SERVICIOS + ABL PROPORCIONAL. CON AJUSTE ANUAL DEL 30%. DOS MESES DE GRACIA, MINIMO PARA ARREGLOS!! -  - PABLO YARYURA PROPIEDADES",DEPARTAMENTO EN ALQUILER,-34.59709924489796,-58.54049549183674,3655.0,426 - Juan Gómez Ansa,Sáenz Peña,Buenos Aires,2
539524eb11698b203aef8e7c92b78bd9cd893f16,2017-12-14,rent,Casa,-34.5398585,-58.5493971,654.8,105,90.0,4,,TRIPLEXPlanta Baja: Living Comedor - Cocina Comedor - Toilette - Patio - Lavadero - Cochera (1 auto)1 Piso: 2 Dormitorios C/placard - Bao2 Piso: 1 Dormitorio C/placardAbona $ 900 de expensasNO SE ACEPTAN MASCOTASIMPECABLE ESTADOGARANTIA PROPIETARIA O GARANTIA FINAER .Publicado por VIVIANA VILLALOBOS NEGOCIOS INMOBILIARIOS a traves INMOMAP,Triplex de 4 ambientes - COCHERA,-34.53979661224489,-58.54935204081633,5177.0,35 - Chivilcoy,Villa Ballester,Buenos Aires,2
